"Generation","Best Fitness","Worst Fitness","Mean Fitness","Standard Deviation","Best Lifespan","Worst Lifespan","Mean Lifespan","Standard Deviation Lifespan","Died","Reached end"
"3628","1.0","0.0","0.312","0.4633098315382483","23.0","1000.0","461.188","320.74863780848705","0.528","0.312"
"3629","1.0","0.0","0.364","0.481148625686492","18.0","1000.0","458.636","317.725503389325","0.508","0.364"
"3630","1.0","0.0","0.232","0.42210899066473345","27.0","1000.0","487.224","322.81838520133886","0.588","0.232"
"3631","1.0","0.0","0.36","0.48","22.0","1000.0","497.892","305.7192050493394","0.52","0.36"
"3632","1.0","0.0","0.304","0.4599826083668816","32.0","1000.0","445.98","287.3020494183778","0.624","0.304"
"3633","1.0","0.0","0.32","0.466476151587624","18.0","1000.0","517.388","329.58599098869496","0.492","0.32"
"3634","1.0","0.0","0.308","0.46166654632970755","24.0","1000.0","523.08","327.289623422436","0.512","0.308"
"3635","1.0","0.0","0.336","0.47233886141201636","19.0","1000.0","490.352","319.847420023986","0.5","0.336"
"3636","1.0","0.0","0.34","0.4737087712930804","26.0","1000.0","493.048","310.60418171042085","0.536","0.34"
"3637","1.0","0.0","0.344","0.4750410508577127","33.0","1000.0","482.208","301.9800204251931","0.512","0.344"
"3638","1.0","0.0","0.276","0.4470167782086037","17.0","1000.0","477.32","321.40815422138866","0.564","0.276"
"3639","1.0","0.0","0.276","0.4470167782086037","23.0","1000.0","512.292","330.6476292611213","0.552","0.276"
"3640","1.0","0.0","0.28","0.44899888641287294","16.0","1000.0","495.556","313.3485836317122","0.58","0.28"
"3641","1.0","0.0","0.304","0.4599826083668816","31.0","1000.0","494.024","315.51722524134846","0.528","0.304"
"3642","1.0","0.0","0.296","0.45649096376598736","30.0","1000.0","482.564","313.2146834105961","0.548","0.296"
"3643","1.0","0.0","0.244","0.42949272403615874","12.0","1000.0","515.08","328.7637230595857","0.568","0.244"
"3644","1.0","0.0","0.288","0.452831094338717","29.0","1000.0","468.38","323.07413947885095","0.548","0.288"
"3645","1.0","0.0","0.316","0.46491289506745237","44.0","1000.0","528.552","316.4971647519136","0.508","0.316"
"3646","1.0","0.0","0.328","0.4694848240358787","18.0","1000.0","508.192","319.52485214142564","0.512","0.328"
"3647","1.0","0.0","0.396","0.48906441293555597","19.0","1000.0","520.556","310.5081365503971","0.444","0.396"
"3648","1.0","0.0","0.256","0.4364218143035474","20.0","1000.0","469.504","311.7294756419419","0.576","0.256"
"3649","1.0","0.0","0.292","0.4546823066713725","18.0","1000.0","509.748","315.02753609168843","0.548","0.292"
"3650","1.0","0.0","0.356","0.47881520443695186","27.0","1000.0","456.468","294.9198958632665","0.54","0.356"
"3651","1.0","0.0","0.3","0.45825756949558394","18.0","1000.0","509.88","319.9321703111457","0.532","0.3"
"3652","1.0","0.0","0.3","0.45825756949558394","30.0","1000.0","478.432","326.8756053546976","0.54","0.3"
"3653","1.0","0.0","0.336","0.47233886141201636","26.0","1000.0","478.332","322.5641979141517","0.532","0.336"
"3654","1.0","0.0","0.344","0.4750410508577127","14.0","1000.0","478.34","315.0343733626539","0.496","0.344"
"3655","1.0","0.0","0.3","0.45825756949558394","21.0","1000.0","504.648","320.19338546572135","0.544","0.3"
"3656","1.0","0.0","0.328","0.4694848240358787","30.0","1000.0","495.04","311.56407751857404","0.528","0.328"
"3657","1.0","0.0","0.32","0.466476151587624","25.0","1000.0","490.584","325.3961200506239","0.524","0.32"
"3658","1.0","0.0","0.328","0.4694848240358787","22.0","1000.0","450.02","302.2595103549267","0.564","0.328"
"3659","1.0","0.0","0.292","0.4546823066713725","45.0","1000.0","500.42","320.246685541006","0.528","0.292"
"3660","1.0","0.0","0.348","0.47633601585435464","21.0","1000.0","465.68","300.62701408888705","0.556","0.348"
"3661","1.0","0.0","0.34","0.4737087712930804","29.0","1000.0","510.86","308.6309777063864","0.52","0.34"
"3662","1.0","0.0","0.324","0.46799999999999997","28.0","1000.0","496.42","301.2846952634668","0.524","0.324"
"3663","1.0","0.0","0.34","0.4737087712930804","28.0","1000.0","463.472","311.43321790714606","0.532","0.34"
"3664","1.0","0.0","0.308","0.46166654632970755","28.0","1000.0","473.316","315.281246102587","0.556","0.308"
"3665","1.0","0.0","0.316","0.46491289506745237","23.0","1000.0","496.428","325.3113659496082","0.532","0.316"
"3666","1.0","0.0","0.32","0.466476151587624","25.0","1000.0","467.468","309.2469320397535","0.548","0.32"
"3667","1.0","0.0","0.26","0.4386342439892262","39.0","1000.0","534.948","333.65702344773155","0.528","0.26"
"3668","1.0","0.0","0.34","0.4737087712930804","49.0","1000.0","483.1","315.9830786608676","0.508","0.34"
"3669","1.0","0.0","0.328","0.4694848240358787","17.0","1000.0","482.9","298.96045557899475","0.528","0.328"
"3670","1.0","0.0","0.356","0.47881520443695186","29.0","1000.0","477.184","319.0124231812924","0.488","0.356"
"3671","1.0","0.0","0.32","0.466476151587624","31.0","1000.0","498.664","313.55069622630407","0.524","0.32"
"3672","1.0","0.0","0.304","0.4599826083668816","23.0","1000.0","477.4","306.8921113355638","0.54","0.304"
"3673","1.0","0.0","0.316","0.46491289506745237","17.0","1000.0","513.436","322.04177043358845","0.52","0.316"
"3674","1.0","0.0","0.316","0.46491289506745237","19.0","1000.0","499.176","326.7017738305072","0.504","0.316"
"3675","1.0","0.0","0.324","0.46799999999999997","37.0","1000.0","471.672","318.2692388780293","0.52","0.324"
"3676","1.0","0.0","0.324","0.46799999999999997","32.0","1000.0","455.508","312.94485446480815","0.552","0.324"
"3677","1.0","0.0","0.284","0.45093680266751346","23.0","1000.0","495.832","315.3304358542002","0.552","0.284"
"3678","1.0","0.0","0.28","0.44899888641287294","23.0","1000.0","505.94","326.6758521837816","0.532","0.28"
"3679","1.0","0.0","0.284","0.45093680266751346","17.0","1000.0","486.392","313.4803061374033","0.552","0.284"
"3680","1.0","0.0","0.292","0.4546823066713725","35.0","1000.0","492.88","319.18755865478215","0.54","0.292"
