"Animat","Day","Location x:","Location y:","Teacher"
"Day: 0"
"2","9","10","17","true"
"3","9","9","16","true"
"4","9","12","19","true"
"5","9","7","18","true"
"6","9","9","16","true"
"7","9","10","15","true"
"8","9","8","15","true"
"9","9","6","17","true"
"10","9","10","19","true"
"11","9","7","18","true"
"12","9","8","15","true"
"13","9","7","18","true"
"14","9","14","19","true"
"15","9","12","17","true"
"16","9","6","17","true"
"17","9","8","17","true"
"18","9","10","17","true"
"19","9","9","16","true"
"20","9","14","19","false"
"21","9","9","16","false"
"22","9","7","18","false"
"23","9","15","18","false"
"24","9","13","16","false"
"25","9","15","16","false"
"26","9","11","16","false"
"27","9","7","16","false"
"28","9","10","15","false"
"29","9","6","15","false"
"30","9","7","16","false"
"31","9","11","18","false"
"32","9","8","19","false"
"33","9","10","17","false"
"34","9","9","18","false"
"35","9","10","19","false"
"36","9","11","18","false"
"37","9","12","15","false"
"38","9","6","17","false"
"39","9","8","17","false"
"40","9","8","19","false"
"41","9","12","17","false"
"42","9","8","15","false"
"43","9","11","14","false"
"44","9","7","16","false"
"45","9","10","15","false"
"46","9","11","18","false"
"47","9","3","18","false"
"48","9","10","17","false"
"49","9","14","19","false"
"50","9","8","15","false"
"51","9","7","18","false"
"52","9","6","17","false"
"53","9","14","19","false"
"54","9","7","14","false"
"55","9","8","15","false"
"56","9","13","18","false"
"57","9","11","18","false"
"58","9","12","15","false"
"59","9","7","16","false"
"60","9","7","18","false"
"61","9","9","14","false"
"62","9","11","16","false"
"63","9","13","18","false"
"64","9","8","15","false"
"65","9","13","20","false"
"66","9","14","17","false"
"67","9","12","17","false"
"68","9","7","16","false"
"69","9","14","19","false"
"70","9","14","17","false"
"71","9","16","19","false"
"72","9","14","19","false"
"73","9","12","15","false"
"74","9","10","17","false"
"75","9","8","15","false"
"76","9","11","18","false"
"77","9","11","14","false"
"78","9","13","16","false"
"79","9","13","16","false"
"80","9","12","17","false"
"81","9","7","16","false"
"82","9","13","18","false"
"83","9","7","16","false"
"84","9","8","15","false"
"85","9","5","18","false"
"86","9","13","16","false"
"87","9","10","17","false"
"88","9","13","16","false"
"89","9","8","17","false"
"90","9","8","17","false"
"91","9","8","17","false"
"92","9","7","18","false"
"93","9","8","17","false"
"94","9","11","16","false"
"95","9","6","17","false"
"96","9","12","17","false"
"97","9","7","18","false"
"98","9","13","16","false"
"99","9","11","16","false"
"100","9","5","18","false"
"Day: 9"
"0","10","13","19","true"
"1","10","12","14","true"
"2","10","11","17","true"
"3","10","10","16","true"
"4","10","12","18","true"
"5","10","8","18","true"
"6","10","9","15","true"
"7","10","10","14","true"
"8","10","9","15","true"
"9","10","6","16","true"
"10","10","11","19","true"
"11","10","8","18","true"
"12","10","7","15","true"
"13","10","7","17","true"
"14","10","13","19","true"
"15","10","11","17","true"
"16","10","5","17","true"
"17","10","9","17","true"
"18","10","11","17","true"
"19","10","9","15","true"
"20","10","13","19","false"
"21","10","10","16","false"
"22","10","8","18","false"
"23","10","14","18","false"
"24","10","13","15","false"
"25","10","15","15","false"
"26","10","10","16","false"
"27","10","6","16","false"
"28","10","11","15","false"
"29","10","5","15","false"
"30","10","7","15","false"
"31","10","11","17","false"
"32","10","9","19","false"
"33","10","11","17","false"
"34","10","9","17","false"
"35","10","9","19","false"
"36","10","10","18","false"
"37","10","11","15","false"
"38","10","7","17","false"
"39","10","9","17","false"
"40","10","7","19","false"
"41","10","11","17","false"
"42","10","7","15","false"
"43","10","12","14","false"
"44","10","8","16","false"
"45","10","10","14","false"
"46","10","10","18","false"
"47","10","2","18","false"
"48","10","10","16","false"
"49","10","13","19","false"
"50","10","9","15","false"
"51","10","6","18","false"
"52","10","7","17","false"
"53","10","13","19","false"
"54","10","7","13","false"
"55","10","8","14","false"
"56","10","13","17","false"
"57","10","11","17","false"
"58","10","13","15","false"
"59","10","8","16","false"
"60","10","8","18","false"
"61","10","8","14","false"
"62","10","10","16","false"
"63","10","12","18","false"
"64","10","9","15","false"
"65","10","14","20","false"
"66","10","15","17","false"
"67","10","12","16","false"
"68","10","7","15","false"
"69","10","15","19","false"
"70","10","15","17","false"
"71","10","17","19","false"
"72","10","13","19","false"
"73","10","13","15","false"
"74","10","11","17","false"
"75","10","7","15","false"
"76","10","11","17","false"
"77","10","11","13","false"
"78","10","14","16","false"
"79","10","14","16","false"
"80","10","13","17","false"
"81","10","7","15","false"
"82","10","13","17","false"
"83","10","7","15","false"
"84","10","9","15","false"
"85","10","4","18","false"
"86","10","13","15","false"
"87","10","11","17","false"
"88","10","13","15","false"
"89","10","7","17","false"
"90","10","9","17","false"
"91","10","9","17","false"
"92","10","8","18","false"
"93","10","9","17","false"
"94","10","11","15","false"
"95","10","5","17","false"
"96","10","12","16","false"
"97","10","8","18","false"
"98","10","13","15","false"
"99","10","12","16","false"
"100","10","6","18","false"
"Day: 10"
"0","11","14","19","true"
"1","11","12","13","true"
"2","11","10","17","true"
"3","11","10","15","true"
"4","11","12","17","true"
"5","11","9","18","true"
"6","11","10","15","true"
"7","11","11","14","true"
"8","11","10","15","true"
"9","11","5","16","true"
"10","11","10","19","true"
"11","11","7","18","true"
"12","11","7","14","true"
"13","11","6","17","true"
"14","11","12","19","true"
"15","11","10","17","true"
"16","11","5","16","true"
"17","11","9","16","true"
"18","11","10","17","true"
"19","11","10","15","true"
"20","11","12","19","false"
"21","11","11","16","false"
"22","11","7","18","false"
"23","11","14","17","false"
"24","11","14","15","false"
"25","11","14","15","false"
"26","11","10","15","false"
"27","11","7","16","false"
"28","11","11","14","false"
"29","11","4","15","false"
"30","11","8","15","false"
"31","11","12","17","false"
"32","11","10","19","false"
"33","11","10","17","false"
"34","11","10","17","false"
"35","11","10","19","false"
"36","11","11","18","false"
"37","11","10","15","false"
"38","11","8","17","false"
"39","11","8","17","false"
"40","11","7","18","false"
"41","11","10","17","false"
"42","11","7","14","false"
"43","11","13","14","false"
"44","11","7","16","false"
"45","11","10","13","false"
"46","11","9","18","false"
"47","11","3","18","false"
"48","11","10","15","false"
"49","11","12","19","false"
"50","11","10","15","false"
"51","11","7","18","false"
"52","11","7","16","false"
"53","11","12","19","false"
"54","11","7","12","false"
"55","11","8","13","false"
"56","11","14","17","false"
"57","11","11","16","false"
"58","11","14","15","false"
"59","11","7","16","false"
"60","11","7","18","false"
"61","11","7","14","false"
"62","11","9","16","false"
"63","11","13","18","false"
"64","11","10","15","false"
"65","11","14","19","false"
"66","11","16","17","false"
"67","11","11","16","false"
"68","11","7","14","false"
"69","11","15","18","false"
"70","11","16","17","false"
"71","11","16","19","false"
"72","11","13","18","false"
"73","11","13","14","false"
"74","11","11","16","false"
"75","11","8","15","false"
"76","11","12","17","false"
"77","11","12","13","false"
"78","11","14","15","false"
"79","11","13","16","false"
"80","11","13","16","false"
"81","11","7","14","false"
"82","11","12","17","false"
"83","11","6","15","false"
"84","11","8","15","false"
"85","11","3","18","false"
"86","11","14","15","false"
"87","11","11","16","false"
"88","11","13","14","false"
"89","11","8","17","false"
"90","11","9","16","false"
"91","11","10","17","false"
"92","11","8","17","false"
"93","11","8","17","false"
"94","11","11","14","false"
"95","11","5","16","false"
"96","11","12","15","false"
"97","11","7","18","false"
"98","11","14","15","false"
"99","11","12","15","false"
"100","11","7","18","false"
"Day: 11"
"0","12","13","19","true"
"1","12","13","13","true"
"2","12","9","17","true"
"3","12","11","15","true"
"4","12","11","17","true"
"5","12","10","18","true"
"6","12","11","15","true"
"7","12","10","14","true"
"8","12","9","15","true"
"9","12","6","16","true"
"10","12","9","19","true"
"11","12","6","18","true"
"12","12","6","14","true"
"13","12","7","17","true"
"14","12","11","19","true"
"15","12","11","17","true"
"16","12","6","16","true"
"17","12","9","15","true"
"18","12","9","17","true"
"19","12","10","14","true"
"20","12","11","19","false"
"21","12","11","15","false"
"22","12","7","17","false"
"23","12","14","16","false"
"24","12","14","14","false"
"25","12","13","15","false"
"26","12","10","14","false"
"27","12","7","15","false"
"28","12","10","14","false"
"29","12","5","15","false"
"30","12","8","14","false"
"31","12","12","16","false"
"32","12","9","19","false"
"33","12","11","17","false"
"34","12","9","17","false"
"35","12","10","18","false"
"36","12","12","18","false"
